content,date,user_name
"great entertainment venue. for food during bball, check out jean georges simply ,  from drew nieporent daily , and a good ole fashioned ","April 11, 2016",Stina P.
I like the upgrades they made but it still maintains its' historic appeal as the worlds most famous arena!!,"April 8, 2016",Brant Fisher
Rangers Isles,"April 7, 2016",Michael Gioia
Lets go rangers!,"April 7, 2016",Francesco Tizzani
Amazing venue for  !,"April 6, 2016",Régis Poulet
If you get a chance to do the Delta 360 club -do it! It's fun and the food is great. Ranger players run through before they  for the game.,"April 3, 2016",Jason H.
"Great atmosphere for a Knicks or .""!","April 3, 2016",Marieke
"Took my family there to see wwe live. It was awesome, we had a wonderful time. There's no place better to see wwe live then at the world's most famous arena.","April 1, 2016",Dew Citi
"Very different than the , stale  smelling place I had been to before!!!","March 25, 2016",Larry Knopsnyder
", , and ...what more do you need?!","March 11, 2016",Adassa Richardson
"""The"" place to catch a big game.","March 11, 2016",Nick Rojas
 New York.,"March 11, 2016",Julia Monti
"It is what it is... a billion dollar facelift the last couple years really helped, though can't you build a new  at that price?","March 1, 2016",Michael Moses
 atmosphere,"February 22, 2016",Chris Vaughn
"The food in the suites is amazing! If you have to buy food, beware, it's 10x more than what you think! Spent $70 on two  and 2 drinks!","February 16, 2016",Paige C
The welcome and professionalism of Cherise.,"February 12, 2016",Sven Van Cleemput
"The 100 level has tons of awesome  including Fuku ( ), Casa Nonna ( and Italian) and Uncle Jacks ().","February 11, 2016",Gabriel Hayes
Let's go Knicks!!,"February 10, 2016",Adam Schuit
Awesome arena. Very .,"February 10, 2016",Henrique Sales
LET'S GO !,"February 8, 2016",Steph Malfatto
Just plain awesomeness! Love MSG.,"February 8, 2016",Jude Owens
Another amazing ,"February 7, 2016",Lizzie Borden
"Historical, known world-wide. There are no tips besides the recommendation to put down your phone and take it all in. It's fine through a recent renovation, maintains it's classic feel. Enjoy!","February 4, 2016",Tom DiMaggio
"At $14.95, the  at the Carnegie  is perhaps the only food bargain in the . Tasty too","February 1, 2016",Rory Parness
"Run DMC at the Knicks, what a day","January 30, 2016",Darren Reilly
Amazing  at the Main Concourse! (Around section 118),"January 28, 2016",Julio C Guevara
"At NY heart! Saw a Knicks game fast to get in and get to seats, awesome lights and sound 😄🙋","January 23, 2016",Hans Luz
What a game. What a show. What a venue. Knicks won!!!,"January 21, 2016",Philipp Z
"Expanding to Madison Square Garden is the  restaurant sensation: Fuku. If the East Village is too far of a , now is your chance to grab a   with . ","January 21, 2016",Eater
"On October 20, 2001, after the 9/11 attacks, Paul McCartney organizes the  for New York to honor the first responders, victims of the attacks, and those continuing to work on the site. ","January 11, 2016",Untapped Cities
AWESOME VENUE for  & . LOVE watching  games here. Front row seats for Jimmy   (pic) amazing show!! Nice  too. 😄,"December 31, 2015",Brad Hager
"Wonderful  venue. You can catch some great ice ,  and boxing here.","December 25, 2015",Carl Griffin
 of NYC. You can see just about anything in tjis venue.,"December 25, 2015",Russell Hirschorn
Great place for a game... With the best Bud !,"December 24, 2015",Luiz Henrique Gondim
"What's there for me to say about the legendary Madison Square Garden? Want to catch a  game? A  by a world famous act? Come here! Don't buy any food though, unless you're rich.","December 23, 2015",Chris Raghoobar
The Greatest Arena on Earth.,"November 29, 2015",Rob Pauloski
The perfect  arena. The 2013 renovation took this place to another level. Simply the best.,"November 28, 2015",Chris Vodola
Everything!,"November 28, 2015",Mike Bennett
"As an international, I found the prices of the food to be on the . So I suggest that you eat before going or prepare to spend the extra for the food.","November 28, 2015",Marlon Brown
Kristoff Porzingis,"November 24, 2015",Jason Wong
What better place than being in the world's most famous arena LET's GO !!!!!,"November 8, 2015",Peter Bernstein
Go Knicks.,"November 3, 2015",Ben S
Always fun to go and watch the Knicks put on a pathetic . #truetoatlanta,"October 30, 2015",Alex Cohen
"If you are connected to the  called ""MSG Access"", you can order food and drinks directly from your seat.","October 28, 2015",pg aa
"Top location, in every sense. If you're in NY you MUST go to a .","October 27, 2015",Emiliano Severoni
Yes I cam galo doido,"October 25, 2015",Priscila CnrCnr
It's a beautiful venue. The production of every event I've been to here is amazing. Objectively not the best for   because so much of it is seated.,"October 24, 2015",Finley Bomer-Lawson
Stromae was brilliant here...and I don't speak/understand french,"October 19, 2015",Mwaki Magotswi
This is amazing folks,"October 12, 2015",Juan Bernardo Orozco Velez
It cleat and well renovated,"October 8, 2015",Nik S.
I saw my second pay-per-view Match here and I had a good time!,"October 7, 2015",Shaun Mcleod
Not a bad seat in the house. Take the all access  if you have some free time. It's worth it to see behind the scenes up close.,"October 5, 2015",Sarah Jackson
Good place to watch  and  and wrestling PPVs!,"October 3, 2015",Shaun Mcleod
There's only one Madison Square Garden. It's the world's biggest stage - step inside -- you'll feel it!,"September 30, 2015",Lance Fiasco
Sight lines aren't the best but you can feel the history here,"September 24, 2015",Uwvie Obodo
"Best arena for  and games in the heart of NYC. It's a must visit for a  and a . If you haven't seen the energy of people in MSG, you haven't witnessed NY!","September 19, 2015",Rewan Parti
Обязательное место для посещения! Worth visiting in New York City! Choose any kind of attraction! I tried Madonna Rebel Heart ! It was amazing! Plus J Lo next to me!,"September 17, 2015",Masha
Love seeing New York Knicks and St. Johns Red Storm  games here.,"September 16, 2015",Gabriel Hayes
The MSG   is a great experience.,"September 16, 2015",Gabriel Hayes
"While the experience for games and  may be better at Barclays Center, nothing matches the atmosphere of a star  (whether in  or ) in MSG.","September 16, 2015",Gabriel Hayes
"there are ,  and much more.","September 15, 2015",honey 🌾 boney
The updates really helped. This place is still great.,"September 6, 2015",Charles Guerrero
Home of the Rangers!,"September 1, 2015",Mike Hopkins
Not to be confused with Madison Square !,"August 24, 2015",Laura Shum
"If you can somehow score  box tickets, GO. Even if the band is crappy....","August 23, 2015",Alex Hennessey
Kevin Hart show was such an amazing experience,"August 22, 2015",D C🐧
Knicks and boxing,"August 6, 2015",Malin Ali Bey
"The  were great for . The , however, are very aggressive. Pack lots of patience because it will be tested.","August 4, 2015",Trevor Ludlam
Catch a  and enjoy $10 ,"July 27, 2015",Ryan
Go see an ice  game or a  game. The atmosphere is awesome and the food is surprisingly good!,"July 26, 2015",Phil Buckler
Go Syracuse! 😍,"July 25, 2015",Allyssa Kaiser
"Impressive venue for a  or game. You understand the ""mystique"" once you're inside. Don't spend much time looking for championship banners in the rafters, though. Go to Boston for that.","July 22, 2015",Chris Pollone
Always fun to come here for venues,"July 19, 2015",Nancerella
The worlds greatest arena! Seats are very  with excellent  throughout.,"July 18, 2015",Christopher Woods
Oh they did it up nice,"July 8, 2015",Melanie Smalls
Morrissey & Blondie <3,"July 1, 2015",Monica Espinoza
It smells like sulphur and Dolan in here,"June 28, 2015",Brendan Lewis
 venue. Great to watch a  or a game!,"June 14, 2015",Kimmie Ohh
Rangers...Knicks .......,"June 13, 2015",Mario Tang
"On the contrary, this place is hardly square.","June 2, 2015",Brett Garwood
 in the city. Worth seeing,"May 18, 2015",Paco MD FACS
The Rangers won tonight! Who wouldn't love the ?,"May 14, 2015",Claudia Colonna
At the Rangers  house it's pack baby it's #Rangerstown baby,"May 13, 2015",Eric Ramirez
Spectaculam game !! Go Rangers,"May 12, 2015",Jordi Riera
Aiming for VIP seats next time,"May 7, 2015",Benche Tan
"""The most famous arena in the world"" doesn't disappoint. Very  and hard to get lost.","May 4, 2015",Jack Fonseca
huge and confusing,"May 4, 2015",Amber E
Live at the rangers  house,"April 30, 2015",Eric Ramirez
Greatest arena in the world!,"April 17, 2015",Ryan Cisek
Future home of mixed martial  events held in New York State.,"April 12, 2015",Mma Fights UFC
Rangers suck,"April 12, 2015",Trevor McVey
"If you're from abroad, bring your passport ID with you or they won't sell you any .","April 9, 2015",Matías Gagliardone
Got bronx   amongst many other  while watching the game,"April 6, 2015",Alex Fish
It may seem strange but they have good  up in the higher stands - splash free. Other  and bars could take note.,"April 5, 2015",Rob Hunwick
 night !! Go rangers ....,"April 4, 2015",Håkan F
Remodel = no legroom in the seats. GA floor if you can get it!,"March 30, 2015",Thomas Sopkovich
Best arena.,"March 26, 2015",Sam Winnick
The temple of the Knicks. Very . A great place to watch great shows.,"March 25, 2015",Aurélien
"Renovations added improved sight lines for .  Alas, food is still lacking.","March 23, 2015",Mike O'Sullivan
The famous event venue in US,"March 20, 2015",OngAndrew 翁
Come and watch the KYK,"March 18, 2015",Mr Maggio
Knicks rule all !!,"March 11, 2015",Gaspar
Come and see what celebrities are watching the game,"March 8, 2015",Ryan Ambs
"If you're here for a sold out event, eat early and on the lower level. The top level is a mad house at intermissions.","March 6, 2015",Yan P
", and you will have a great  wherever you're sitting","March 4, 2015",Jessica Jung
$10.00 ,"February 28, 2015",Jason
Go #Rangers Go!! 💙,"February 27, 2015",Nadia IssaBella
"For Billy Joel, the opener starts at 8 and big man doesn't go on until 9.","February 21, 2015",Dave Cummings
A great place to catch a  game....pro & college.,"February 18, 2015",Ricky Sherrill
"Iconic. One of my favorite . , orderly, and tons of ladies !","February 5, 2015",Connie Chiu
.....,"February 2, 2015",Bora Bekit
Been there few times and this venue is always impressive!,"January 27, 2015",Lydia Berkennou
Skip the regular food and go straight to the hill country ,"January 24, 2015",Deep Gujral
The food choices are amazing,"January 22, 2015",Ryan Catterson
When leaving. Find the secret fire exit stairs.,"January 20, 2015",Eric Powell
The Mecca of  - great college hoops games here,"January 18, 2015",Nick Fruendt
Cool structure and organization. I've been here to watch Louis CK and there's nothing to complain.,"January 16, 2015",Alvaro de Souza
Enjoy the knee pain if you're over 6',"January 15, 2015",Justin Dickinson
Louis CK  n'such.,"January 15, 2015",Patric Klotzbuecher-Cruz
Go Rangers,"January 14, 2015",Ana Cristina Grilo
"Whether it's a  game, a  or the  you will feel like you're at the center of the universe in New York's most famous venue. Penn Station being downstairs is very convenient too.","January 12, 2015",Patrick Healy
Legendary venue. Had the pleasure of mixing there recently,"January 10, 2015",Mat Collis
Like a big !!!,"January 9, 2015",Arman P. Sali
Bring a US ID or Passport if you want to get . No other ID is accepted including scanned copies!,"January 3, 2015",Ronald Widha
"If your in the area, check this cool place out","December 29, 2014",Blue Man City Man
Keep in mind @TheGarden does NOT open many of the restaurants for non-@nyknicks and non-@nyrangers events; even if it's a sold-out concert/event,"December 26, 2014",Miguel Gonzalez
It's game day!!! Working today's Knick game so if you're in the house let me know!!!,"December 25, 2014",John Gonzalez
Knicks still suck,"December 24, 2014",Stephen Clark
Yes...I can feel great here...,"December 20, 2014",Wen Zheng
Take the !,"December 18, 2014",Zhue Estrada
"Seats are small, if you're over 6'2"", you're going to be uncomfortable.","December 18, 2014",Mike Sweeney
Super tight seats with less legroom than an airplane. Get aisles if you can.,"December 18, 2014",Dustin Lee
Perfect. ...,"December 14, 2014",Yasemin Gunay
The Grinch,"December 14, 2014",Kat
#JingleBall,"December 13, 2014",Alexandra Gonzalez
"Corporate hellhole and home to the worst teams in the planet. I'm sure you can tell, I'm a Knicks fan.","December 11, 2014",Daniel Barnett
"One of the best  venues in the world. Vertical, confortable seats, great facilities/amenities","December 9, 2014",Alex
"I loved the place. Definitely go and watch a game here, I've heard that's its last year so hurry up!","December 7, 2014",Katerina Anna
It's a must if you are visiting NY to watch a .,"December 2, 2014",Luci
Go Rangers,"December 1, 2014",Runnin' Donna
"You have to visit this place at least once in your life. Put on your bucket list, whether a  or a , it's a must do;)","November 30, 2014",Bree Sweet
Billy joel!,"November 26, 2014",Christina
Huge  great for Ice ,"November 24, 2014",Fiona Melville
Go see a Knicks game!,"November 22, 2014",Roger Bloem
Go Knicks!!!! Go Rangers!!!!,"November 21, 2014",Racky Ross
The most famous arena in the world,"November 20, 2014",J. I.G.
Lets go knicks!,"November 13, 2014",MisterX DeLaMundo
What a beautiful arena!,"November 12, 2014",Jussi Ristimäki
!!! :-),"November 11, 2014",Carolyn Post
" goers, please wait until the play stops before leaving from or going back to your seat.","November 11, 2014",Tom Meng
Don't miss an NHL game if you are in the city! Go Rangers!,"November 9, 2014",Dainis
"The best thing about arenas with seats -- get here 15 minutes early and just walk right in. Oh and there are metal detectors at the front gate, leave your knives at home.","November 6, 2014",Janice Taylor
 Boss,"November 1, 2014",Brian Kelly
"Welcome to ""The Mecca"" - Known as the world's most famous arena, come here to watch a Knicks or , or your favorite band .","October 31, 2014",Michael L
Motley Crue!,"October 28, 2014",James Marussich
Great venue to see a  and soak in all the history that came before you.,"October 23, 2014",Brad Zickafoose
Take the ! You'll find very interesting things,"October 20, 2014",Carina L. ☀️
Yeappp safely n loved it,"October 18, 2014",Catherine C G
"Home of WrestleMania 1 (1985), WrestleMania 10 (1994) and WrestleMania 20 (2004).","October 17, 2014",Osama Bin Goomba
It's gonna be in WWE 2K15 as DLC! Can't wait!,"October 17, 2014",Osama Bin Goomba
If you don't have a US drivers license you need a passport as ID; they don't accept anything else at concessions,"October 13, 2014",Daniel Howells
Opening Night!! 2014,"October 12, 2014",Melissa
"#aziz , hysterical","October 10, 2014",jeff ritterband
Renovations have helped. Still kind of a dark dungeon,"October 6, 2014",Lance Lacoff
Soundcheck @jbalvin NY#madisonsqaregarden,"September 25, 2014",John Buitrago
Truly one of the best arenas in the world. However it is really  for everything. Food tickets drinks and merchandise.,"September 20, 2014",James C
The Eagles...Bernie Leadon...good setlist,"September 19, 2014",Nancy Martin
Restaurant,"September 13, 2014",Elizabeth Mondello
"Try the  at ' Boss'. Take any train transit to Penn Station.  ceiling was restored. If you need help deciding which Seats to purchase for your next , check out ","September 4, 2014",John Mann
I work here now!,"September 2, 2014",funky flavor
What a historical place! Was here for a Michael Bublé  in July 2014... Amazing! On to the next bucket list item...,"August 26, 2014",Ashley 🎀
The Rangers break my heart here.,"August 25, 2014",Vincent Q
What isn't good here?  I love New York,"August 23, 2014",Abi Panicker
USA .,"August 20, 2014",Tom Crotty
I am in new York City not at work lol,"August 19, 2014",Don Davis
Home sweet Home #TeamWorkMakesTheDreamwork,"August 18, 2014",Mimi Alakija
 and  dinnaaaah! #stuckinNYC,"August 15, 2014",Hannah Attika Pascual
"This is it. The famous MSG and for good reason. Amazing venue for ,  basically anything!","August 12, 2014",Michael Vierra
The Knicks!,"August 12, 2014",Bennett
Can be really crowed with a good ,"August 10, 2014",Maria Tobar
with Mara and Philly Pride  team,"August 10, 2014",Susie Choitz
Bucket list item marked off,"August 10, 2014",Dirty Bird
Madison Square garden,"August 8, 2014",Karina Freire
Live people at here.,"August 8, 2014",Man_Used👽👾👽
Billy Joel,"August 7, 2014",Carol Demarest
"Encore ^^,","August 7, 2014",Nayrb Hpesoj Aratnacla
"Incredible show, Pharrell's  was funky, energetic, & the perfect audio  for Bruno Mars. Bruno didn't miss a note; literally tore the house down & everyone was having a great time!","July 15, 2014",Denny Martin
"Section 118, seat 17 : Great Seats!!!","July 14, 2014",Denny Martin
Incredible been there many times for a Rock ,"July 13, 2014",Natural Soap
"One of Manhattan’s biggest event venues, MSG is the city’s premiere  and entertainment complex. Home to the NY Rangers, Knicks and Liberty teams, it’s also a stage for  on .","June 13, 2014",Affinia Hotel Collection
Greatest  arena,"June 12, 2014",David Ritz
Come on rangers,"June 12, 2014",David Ritz
Just; AWESOME!!!!,"June 9, 2014",Klauss Tattoo Studio
" through stub hub for section 320  when we got 2 the venue they switched out our tickets for in the 417 section. They stopped serving  at 11pm. Besides this, I had fun with my friends","June 8, 2014",Mariel Suarez
Awesome!! Kanye West & Kendrick Lamar Yeezus Your!,"June 3, 2014",Juan Reyes
The  are delicious,"May 27, 2014",Hilda Soto
Get the . They're amazing. Right next to the team store outside section 112/113.,"May 16, 2014",Eric
I am at a  where being normal feels extremely weird,"May 13, 2014",Ece Bildiren
Let's go Devils!!!,"May 10, 2014",Daniel Geltzeiler
Who’s this guy in glasses yelling at all the players? He’s ruining my courtside seats.,"May 9, 2014",The Most Interesting Man in the World
LETS GO ,"May 8, 2014",annette sprio/white
GO RANGERS...<3,"May 8, 2014",annette sprio/white
"Did you know? Elton John holds the all-time greatest number of shows at the , playing there a total of 62 times.","May 5, 2014",Steve Hovington
"Did you know? John Lennon’s final  appearance was at Madison Square Garden, just before his murder in 1980.","May 5, 2014",Steve Hovington
"Did you know? The fastest sellout of Madison Square Garden was Taylor Swift in 2009, when she sold out the venue in 60 seconds.","May 5, 2014",Steve Hovington
I have  here a few times because I love New York!! I ❤️NY!!!,"May 5, 2014",Tom Jones
"Was at the  for the first time in 1970 for a . Stayed at what was then the Taft ,","April 29, 2014",Ricky SPAUDE
Great  at 38th and 8th!,"April 29, 2014",Ricky SPAUDE
Now for a quick flight to chi town!,"April 27, 2014",Ricky SPAUDE
you haven't really been to msg until you've seen a NYR playoff game,"April 21, 2014",Salvatore Sparaccio
You have to go at least once.,"April 19, 2014",The Infinite Zoo
There are no bad seats at the .,"April 16, 2014",Nick Van Zandt
Learn how to make money trading without being chained to your computer all day. Get started now! ,"April 12, 2014",Atlas Aloe
The #skywalk is open to any/all patrons with a ticket to a MSG event. Check it out!,"April 3, 2014",Lindsey Nagy
"Where to eat when you're watching a Rangers or Knicks game: Club Bar & Grill,  Boss, Hill Country, Carnegie , and Daily . ","April 2, 2014",Eater
"The greatest arena in the world, the Mecca!","March 25, 2014",Jake Aycock
A 'copycat'of the Giralda Tower (Seville) was part of the original MEG in 1890. It was one of the first  in Manhattan and had an  of greek godess Diana on top.,"March 25, 2014",Sevilla
the remodel looks amazing!! did a very good job! I don't feel like I'm walking through a subway anymore!! love the new Jumbotron too!!,"March 24, 2014",Micky Box
To go to Floor Level for a  go to Tower A,"March 23, 2014",Carla Miranda
"The place is so beautiful, If you're visiting NY you must go on the , the place is awesome. If you get the chance go to watch a game!","March 19, 2014",FCPB
The place where a  game turns in a show! Awesome time spent here!,"March 17, 2014",Andrés
"if you don't have US ID, bring your passport. no passport, no booze.","March 16, 2014",chowechow
Fantastic venue),"March 9, 2014",Victoria Kokava
"If you're sitting in the upper rows of the 200 sections, your  of the GardenVision scoreboard will be obstructed by the Chase Bridges.","March 5, 2014",John Simpson
Go Rangers!,"February 28, 2014",Phoenix 💥💥💥
The world's famous arena! One of my fav'  & games location ♥️,"February 16, 2014",Carole
Best In Show,"February 12, 2014",JetzNY
Read our Westminster Dog Show coverage in Meniscus Magazine at meniscuszine.com! ,"February 11, 2014",meniscuszine.com
Beside the fourm/staples center msg is the only other place I would want to watch a  game,"February 7, 2014",Instagram/sharif_the_virgo
Totally awesome,"February 1, 2014",Mahendra Singh
Saw Keith urban great ,"January 30, 2014",Suzanne Berry
Keith urban ,"January 30, 2014",Suzanne Berry
Renovations are amazing.  Still got love for my Knicks!,"January 29, 2014",Deepak Shrivastava
Carmelo Anthony Rocks.  Setting a record high points per game,"January 25, 2014",Howard
"Watch , here.","January 22, 2014",Michael Clarke
"It's like the slogan for David : Watch , Be happy!","January 22, 2014",N.M. Mascia
Great place to be on vacation,"January 20, 2014",Mahendra Singh
"Have you caught a Knicks, Rangers, or  at the world's most famous arena? Let people know about your experience on Wyngspan! ","January 16, 2014",Wyngspan
"In the 1998 remake of Godzilla, Nick and the team discover that Godzilla has made his nest inside Madison Square Garden (MSG).","January 13, 2014",City of New York
Madison square garden is the greatest.,"January 13, 2014",Kalie Jo Vitt
I was here back in 2011 for the SMTown ! :D One of the best nights of my life!,"January 13, 2014",Cadiea Schuster
Lets Go Rangers!!!!!,"January 12, 2014",Ryann Howles
Check out the chase bridges! & be sure to grab a  from hill country,"January 5, 2014",Michelle O
If you tip the concession vendor $1 he'll give you your bottle caps back!,"December 31, 2013",Dan Entin
If you have GA for Phish you'd better get there early (7:15pm) for the long line to get into the floor. Seperate entrance on the side of the venue. Horrible!,"December 30, 2013",Rj Saloomey
Home of the Knicks a team known for spike lee and disappointing seasons,"December 30, 2013",alex moskos
"Best place to see a show!!!! Especially, New Year's Run with PHISH!!!!","December 29, 2013",Tricia LaGrace
Chat with other fans at the game using Spotchat!! - ,"December 27, 2013",Joe Barreca
Hill Country !!!!!!,"December 23, 2013",Kathryn Mauch
Great game. Great crowd,"December 13, 2013",Kayla Batista
"If you want to buy , bring a passport.","December 2, 2013",Martin Ross
If you find yourself sitting next to Bill Ackman of Pershing Square court side don't ask him how his Herbalife  is going. Mum's the word,"December 2, 2013",Michelle Wendy
Lets go Islanders!!!!!!!!,"November 28, 2013",Matt S.
"Take the subway! With Penn Station underneath The , its much easier to get in and out via subway than by car...","November 27, 2013",Sweet Boy
What an incredible place this has been over the years! Absolutely Remarkable!,"November 23, 2013",Jeff Longley
"Great place, fantastic atmosphere","November 21, 2013",Tankut Akay
"The 3 year, billion-dollar renovation of Madison Square Garden is slated for completion at the end of 2013 & will include upgraded food vendors, an airy concourse, &  new  - Curbed","November 14, 2013",The Corcoran Group
"IF YOU ARE VISITING ANOTHER COUNTRY, PLEASE HAVE YOUR PASSPORT WITH YOU SO YOU CAN BUY  AND !!!!","November 14, 2013",Darius S
"Unlocked by TuanHajiUder on Tue Nov 12, 2013 at 11:46 PM at Madison Square Garden in New York, NY.  #Macklemore & Ryan Lewis, Talib Kweli and BIG K.R.I.T.","November 13, 2013",توان حاج اودر💋
"New seats, can we say !","November 12, 2013",Emily Cramer
Ok let's go,"November 5, 2013",Sasao Steps
If you aren't from America then you have to bring a passport to get an ....... Even if you have other forms of I'D. They still wouldn't serve me with Uk D'licence or military I'd,"November 3, 2013",Gerry McQuade
Go leafs go,"November 2, 2013",Ryan Milnes
Boyle Sucks!,"October 29, 2013",Willy Gimeranez
Seats on the new bridge level are the best!,"October 26, 2013",Edward Adams
Born Again with Violet Rain,"October 21, 2013",Virginia Records US
Alicia Keys'  in April was divine! The  is Heartbreaking!!,"September 29, 2013",Giando
My favorite place in world!!! NYC!!!,"August 14, 2013",Stella Geller
"Known as the world's most famous arena, come here to catch a Knicks or , or your favorite band .","August 1, 2013",The Corcoran Group
Where Dreams Are Made!,"July 17, 2013",George Remaily
"It cost $1.1 billion to build-among the top-10 most  in the world. Seating:  - 19,033; Ice  - 17,200;  - 20,000; Boxing: 20,789. Amazing!","June 6, 2013",Madrid2020
Knicks. Rangers. Every band you can think of. They've all played MSG. If you haven't seen an event at the historic venue in the heart of NYC - what are you waiting for? And hear it all in JBL sound.,"June 3, 2013",JBL
I think that so very very amazing,"May 26, 2013",Anugrah Septiansyah
"One of the World's iconic venues... undergoing some renovation at the moment so doesn't look its best. However, if you get the chance to watch Ice  here then grab it with both hands!","May 12, 2013",Mark Jones
Home of the NY Knicks and NY Rangers. One of the most iconic and famous arena in the world. Many iconic figures  in this legendary .,"May 11, 2013",Lloyd
"Whenever I come to MSG, the full New Yorker in me comes out. I feel like a kid again. KNICKS! However, the  +  I ate wreaked havoc on my excretory system for 2 full days.","May 10, 2013",Dee Phunk
"When you're checking out your favorite  at Madison Square Garden, be sure to stop by the JBL display to learn more about our new products, and receive a special  at JBL.com ","May 3, 2013",JBL
The  hosts approximately 320events a year.,"April 26, 2013",Osho P
Sneak down to court side before the game.  If you're nice to the user they'll let you take a photo on the court,"April 25, 2013",Evan Fogel
Knicks are going to win.,"April 23, 2013",Ben L
great place for  fans,"April 19, 2013",DAVID RODRIGUEZ
Best freakin stage show I have seen in a very long time!!!,"April 17, 2013",Gilbert Wong
"Side seats are meh for . Grab floor (standing) tickets, or seats in the center if you can  it. Avoid section 221.","April 16, 2013",Kassia Graham
"Home of the Knickerbocker of New York... they often underperform, but they are the heart of the city!","April 16, 2013",Dwayne Kilbourne
The playoffs!!!!!!! Coming soon.,"April 16, 2013",Silky Waves5
Awesome!!!!!,"April 15, 2013",RFQ®fq
Have fun for way u do make it fun for u and your and inployees and you will be happy just like your customers,"April 13, 2013",Dearsha Shannay
"im here on the wrong night im suppose to see the jackie robinson red carpet opening or ""42"" in kcmo jackie use to play 4 kcMoncarchs b4 he went pro i believe his number was 5","April 11, 2013",David Mikel 😜😎
Arrive early and you might see celebrities.,"April 7, 2013",Tim Bailey
Good choice of  and food for a sports/music venue.,"April 4, 2013",Plwm Bwm
Go Rangers !!!!,"April 3, 2013",Thomas
Worlds Greatest Arena. Period.,"April 2, 2013",Andrew Marsh
It's The ... Need I Say More? Enjoy,"April 1, 2013",Chris
#ASOT600NTC best ever epic legit celebration of #StateOfTrance by the great  #TranceMasterDJ #ArminVanBuuren #best #topdj #trance #edmlife ever!!,"March 31, 2013",Aolani Smythe
A must see while visiting New York. Whether you see a  or  game or a  make sure you stop at the world's most famous arena.,"March 31, 2013",Social News Network
Tonight: Armin Van Buuren is in the house and I am so jealous! Sick electronica!,"March 31, 2013",@JaumePrimero
Fuckng epic ASOT600 Armin Van Buuren massive State of Trance yeah!!,"March 31, 2013",Aolani Smythe
Disney  Mickey   Goofy Is awesome.,"March 28, 2013",Veronica De Jesus Dockery
Spot Howard Stern and Chris Rocks back!,"March 28, 2013",Athar Khan
"ALWAYS bring a  bottle cap, they don't sell bottles with then for stupid ""security"" reasons. Be warned","March 23, 2013",Jason Herman
"Nice place for an event, I think they do weddings and bar mitzvahs","March 22, 2013",Michael Nienaber
