content,date,location_name,user_name
"We have great time with bicycles in here. Also nice  to Run and make . There are generally charity organizations, if you can catch you can join",23-Sep-16,Central Park,Burcu Karadayi
"Take your time here and walk through large fields and ...Also, metal posters are cheeper here :)",23-Sep-16,Central Park,Can Senses
Buy the audio headset to listen to information about specific  or .,23-Sep-16,Central Park,Veena Almad
The place to get  and  relax and meet friends.,22-Sep-16,Central Park,Suli Thamma
You have to spend at least 1 day. Wonderfull and incredible,21-Sep-16,Central Park,Emre Aktuna
"A picturesque  more beautiful than I could have ever imagined. Find a , enjoy the sun and take a break from the city.",21-Sep-16,Central Park,Adam Smith
Please let me live right here in this !!,21-Sep-16,Central Park,Murat Gonul
Lay out in the sun in sheep medow.,19-Sep-16,Central Park,Bommy Cha
Definitely a sim -b&t,19-Sep-16,Central Park,Tanner Carbonati
Best  of Manhattan: Sheep Meadow and the northern side of the reservoir. Come here in the fall!,16-Sep-16,Central Park,Beatriz Castillo
Great place to get lost. Also it's Pokémon Go heaven,15-Sep-16,Central Park,Martin Jennings
A lot of spots to stop sit and enjoy veraiety of .,13-Sep-16,Central Park,Ilan Lotvin
In my life I am very interesting and exciting to spent lots of evening time on  because I feel fresh and energetic there .,10-Sep-16,Central Park,Natalia Asido
"I always had a great time there whether it was , walking my dog, , or listening to Dave play the guitar.  It's my favorite place in the city.",7-Sep-16,Central Park,Thomas Wiecezak
Great for a walk and to relax,6-Sep-16,Central Park,Josue Soto
"Awesome. For running, walking, meandering, , , playing catch, flying a kite, sitting and taking it all in. Just to start.",6-Sep-16,Central Park,Lauren D
"If a  filled with self entitled, asshole grannies and  with popped collars is your thing- head to Central",4-Sep-16,Central Park,Rob Bullough
Amazing !,3-Sep-16,Central Park,Hristina
 and long walks,27-Aug-16,Central Park,Guba Gump
The heart of nyc .. U are setting in the middle of Manhattan,26-Aug-16,Central Park,Alaa Alharbi
Go for a walk,25-Aug-16,Central Park,Abu Aya aka KD
Caught a Pikachu last time I came here!,25-Aug-16,Central Park,Ray Lopes
Go to the boathouse for !,24-Aug-16,Central Park,Alex Currie
Central Park is giant and amazing. Breath the  and walk around the  while you're looking the  of Manhattan.,23-Aug-16,Central Park,Carlos Altahona
Running around the reservoir!,21-Aug-16,Central Park,Barbara Hough
843 acres of  in the middle of a sprawling metropolis? Not a bad thing to be able to walk to (or through) every day. ,19-Aug-16,Central Park,BuzzFeed
"A must visit when in New York City. Tons of attractions including the Central Park , , the Carousel and the great lawn.",17-Aug-16,Central Park,Gabriel Hayes
A treasure trove for PokemonGo. The highest concentration of pokestops and lures imaginable.,17-Aug-16,Central Park,Gabriel Hayes
" is awesome, take any path your heart desire and enjoy !",16-Aug-16,Central Park,Alexandra Tritz
Best  in the world!,16-Aug-16,Central Park,Giancarlo Pereira
Rent a  and explore the area wonderful 😀,16-Aug-16,Central Park,Stephan Grabmeier
Nice place,16-Aug-16,Central Park,Ade Setiawan
"Keep an eye out for the , be it the raccoons or the !",12-Aug-16,Central Park,Morgan Williams
"Would consider Central Park as the oasis of NYC! It's a little bit of tranquility in a city that never sleeps. Stop in, grab a map and you can easily spend a whole day exploring this huge ! Enjoy!",12-Aug-16,Central Park,May �?
Ride a  around the  and enjoy the great sights 🚴❤️,10-Aug-16,Central Park,Soska🦄
An amazing oasis in the middle of the city. So much to see and do here!,8-Aug-16,Central Park,NatashaTheNomad
 on 81 Street is okay but not great.,7-Aug-16,Central Park,Larry Carbone
It was just lovely there...,5-Aug-16,Central Park,charlene watson
"The most famous  in the world, so much to do, so  and serene that you forget you are in a City. An Island inside an Island",5-Aug-16,Central Park,Giuseppe Turitto
favourite spot in the whole ,5-Aug-16,Central Park,Camila Lago
World's well known ,3-Aug-16,Central Park,Sedat
Power nap- good  and have a stroll,2-Aug-16,Central Park,Sachith Rai
"Definitely enjoyed walking through it on s nice summer day, so beautiful.",21-Jul-16,Central Park,Matt
"The Weather ❣🇺�?""July 19"," 2016""",Central Park,Munira H
"No  strolling by the , unless you enjoy strolling with the ",18-Jul-16,Central Park,Jasmine
 is the perfect place! It's a wonderful place where you can spend the whole day enjoying the nature and doing many different activities.  don't forget to bring food for your  !,18-Jul-16,Central Park,Aline Alux
"Great for everything, definitely you should have  there",17-Jul-16,Central Park,Nouf Mohammad
Great  and  spots around every corner.,17-Jul-16,Central Park,Mikahla Vicino
Beautiful . The  is a little  gem of a  spot if you're having trouble finding one.,14-Jul-16,Central Park,Zoe Dun
A Walk To Remember /,13-Jul-16,Central Park,VelvetCrate
Beautiful ,12-Jul-16,Central Park,Elie Hirschfeld
"This is my all time favorite place in the city. There are , lots of green lawns, a Shakespeare , and awesome paved loop that you can run or  on. There's a pool too!!!",12-Jul-16,Central Park,Michael Fernandez
"Oasis in the middle of the city, here you can walk jog or just  and eat all kinds of food and there's always something happening..",10-Jul-16,Central Park,Christian Nelson
Easily in my NY top 5! I suggest you take  and spend a good full day walking the entire ! A great place inside world's most crazy and beautiful city!,10-Jul-16,Central Park,Jason McKeyton
It's about 10km if you run around the .,10-Jul-16,Central Park,Maynard Tann
Is fantastic. I love....,9-Jul-16,Central Park,Juliane (Jully) Hellmann
", , entertainers, ",8-Jul-16,Central Park,Josette
Try taking a date here. The  and Bethesda  are especially effective.,7-Jul-16,Central Park,HashtagNYU
How can you not love this place?,3-Jul-16,Central Park,Sara 🌈⚔�?
IT Was my dream to see C.P! Really Nice place,29-Jun-16,Central Park,Eva Benti
Spectacular ,29-Jun-16,Central Park,Julio Villarespe
The best  in the world,27-Jun-16,Central Park,Arnaud Réauté
 hill,27-Jun-16,Central Park,Luis Penialozza
Central Park Boathouse-heaven on earth,26-Jun-16,Central Park,Katrina Kildare
"Jog around the , within the inner loop and you'll catch the ",26-Jun-16,Central Park,Danny Ong
Absolutely beautiful. In island of tranquility. Have a good walk around the place.,26-Jun-16,Central Park,Michael Holdsworth
Absolutely stunning,21-Jun-16,Central Park,Caroline
Awesome place,21-Jun-16,Central Park,Ana Avila
"I love CP. One of my favorites places in NY... , ride a , go in the small  with the boats, enjoy the  or the  of NY.",16-Jun-16,Central Park,Carmen Gloria Riquelme
"Everything. So much to do, can spend days in Central Park with the amount of activities available. DO NOT RIDE BLACK CAR CABS! SCAMMERS.",14-Jun-16,Central Park,Antonio Vanegas
One of the most iconic  in the world. Too much to see and do to leave a single tip other than plan multiple visits.,13-Jun-16,Central Park,Kevin O'Neill
Great for walking and 's.,11-Jun-16,Central Park,Fernando Ramírez
Love it! the place!,10-Jun-16,Central Park,Carlos Sarzi
"Central Park is always impressive, no matter what time of the year.",10-Jun-16,Central Park,Catherine C
The people the dogs the pool the  zoo....etc,9-Jun-16,Central Park,Waleska Quintana
Try and avoid narrow paths with surrounding stagnant water as u'll be surrounded by all kinds of . Take ur time to stroll around and feel free to lye down and enjoy the summer breeze,7-Jun-16,Central Park,Ghassan Alkharboush
"July 18th: Have a  in Central Park…anywhere besides Sheep Meadow. There are so many other great places to explore, like the grassy spots around Belvedere . ",2-Jun-16,Central Park,PureWow
my favorite ,2-Jun-16,Central Park,Alina Sytnik
This is one of the best  of the USA.it is very good  to walk every morning and evening.,25-May-16,Central Park,Sam Moeller
"Beautiful, lovely, wonderful 😘",23-May-16,Central Park,Crystal Ward
"Best place to walk,  in this summer, have  and ""get lost"" and walk through beautiful pathways!",17-May-16,Central Park,William Studart
"Awesome ...playgul ,wonerful boat  close to the Metropolitan ...It is an adventure each time you walk ,paint or bicycle it . The Jewel of of the City truly!!#",17-May-16,Central Park,Martie Turner
Take your  from the nearest Starbucks and lay down on the grass. Enjoy the  at the heart of the capital of the world.,14-May-16,Central Park,Mustafa Taha Özal
try the rowing boats..great ,13-May-16,Central Park,Luisa de Lachica Medina
"Went on horse and buggy ride, it was awesome",10-May-16,Central Park,Joseph Castranova
"Sheep's meadow, John Lennon, horses 🐎, trees 🌳",8-May-16,Central Park,Harrison Johnson
 in the middle of Manhattan. Enjoy.,3-May-16,Central Park,Ivar Merilo
Those ducks aren't your friends,1-May-16,Central Park,Luke
Sea lions being fed. ...,28-Apr-16,Central Park,Marjorie Pagani
I love the !  Need anyone say more?,28-Apr-16,Central Park,Brian P
"Have a map ready to check on not to get lost in this huge ! Best spots to see are the Central park , the Bow Bridge and the Belvedere ",26-Apr-16,Central Park,Margherita B.
The most popular  in NYC. Nice to walk around and escape the City Noise. It is Huge and easy to get lost there.,26-Apr-16,Central Park,M ALDossary
Heaven of New York!!!,25-Apr-16,Central Park,Hazar Candan
Just like the !!!!,25-Apr-16,Central Park,Cristina Altamirano
Get around and get lost. Find the way to sheep meadows and .,24-Apr-16,Central Park,Noe Guercetti
 over Central Park ,23-Apr-16,Central Park,Josh Taroli
What is not to love?? Beautiful !!,20-Apr-16,Central Park,IrmaZandl The Opinionator
A nice ,19-Apr-16,Central Park,بن عقيل Ahmed
Very few things like it.,19-Apr-16,Central Park,John Duncan
Take a walk or run around the bridle path that circles the reservoir.,18-Apr-16,Central Park,Andy Chapman
Walk in the Ramble for  and perpetually good people-watching.,18-Apr-16,Central Park,Larisa Grollemond
Love my . I've been taking 6 mile walks around Central Park 3 times a week. Sheep's Meadow is a great place to hang out for a . Tavern on the Green is an awesome spot to grab a drink.,17-Apr-16,Central Park,Leigh Ann Boatman
Beautiful place to sit and have some  just you and your thoughts.....,17-Apr-16,Central Park,Mr Maggio
it's a great  who would write a bad review?,15-Apr-16,Central Park,Laura Gorman
I rate this as one of the best place in NY,13-Apr-16,Central Park,jansen c
Best during the week when most are at work - go before 10 am and it is one giant !,13-Apr-16,Central Park,Molly Donohue
I love the  and trees!,8-Apr-16,Central Park,Claire
The best place to visit in NYC!,4-Apr-16,Central Park,Pelin Güvenç Kefel
Love  in this beautiful  every time I come to the city!,3-Apr-16,Central Park,Rachel Lodin
Day 3 >  at central park,30-Mar-16,Central Park,ฟ้าเซ่�?ก็แค่มนุษย์ไม่ระบุประเภท
"Come here to run, walk, , whatever. Running all the way around it is about 10k.",28-Mar-16,Central Park,Jeanette Mayland
Biggest part in NYC. Lovely for  and take some  as well,27-Mar-16,Central Park,Alejandro
"MMP (, Mr Softee, and ) is the GTL of Manhattan.",24-Mar-16,Central Park,Logan Kerr
Rent a bicycle !,24-Mar-16,Central Park,Eleni Moschovakou
Nice and  at when you are in the big ,22-Mar-16,Central Park,Jörgen F
"Although Central park north is smelling bad with dog pees, southern part of this  is amazing surrounded with all ranges of green and you will be able to watch skycrapers, , , running",20-Mar-16,Central Park,Mustafa Can
Great place for a nice walk in the city.,20-Mar-16,Central Park,Curtis J.
"Its the most popular place in the city, its a must see",19-Mar-16,Central Park,Nicole Quist
They have trees here.,17-Mar-16,Central Park,S I D
Who wouldn't love it?!,16-Mar-16,Central Park,Viktor Kostik
"The weather is better when it's sunny, but still a great place to escape and .",11-Mar-16,Central Park,Lizzie Hatfield
My NY escape!,9-Mar-16,Central Park,Faith
There's always something going on here!,9-Mar-16,Central Park,David Guerrieri
Favorite place in Manhattan,6-Mar-16,Central Park,Tara Dîana
Watch out for traffic!,1-Mar-16,Central Park,Saif Dia
Ideal for a walk,28-Feb-16,Central Park,Mao Tse
There is so much to see and do. Such a beautiful place (and excellent for kids)!,26-Feb-16,Central Park,Lee Gaul
This is the beautiful and famous  of united states.This place is attractive for ,25-Feb-16,Central Park,Shabna Kohistani
Greatest place in the city!,24-Feb-16,Central Park,David Milberg
Walked for ages and didn't even touch the edges. Way bigger than I imagined.,24-Feb-16,Central Park,John Helps
Great place to propose,23-Feb-16,Central Park,Lochlan Tangas
This is awesome  I really enjoy the beauty of the .,23-Feb-16,Central Park,mesorx shreevenkatesh
 in the winter is amazing ,22-Feb-16,Central Park,Tim Frietas
Go outside and be active. Endless possibilities in the . Check out the   too,22-Feb-16,Central Park,Rudy Valenta
A promenade around the  is refreshing,22-Feb-16,Central Park,Isaac V.
It's Central Park.,21-Feb-16,Central Park,Brian Masefield
The most beautiful  in USA.It is awesome  to go with your family.,15-Feb-16,Central Park,Valvetta McGee-Hudson
The beautiful  of the USA.Many  attracts this .I like this,15-Feb-16,Central Park,Everon Clarke
Beautiful. An absolute gem of Manhattan. But be careful at night!,14-Feb-16,Central Park,Breanne Palmieri
"Bring my  here occasionally on nice days. Great exercise,  and a great place to .",10-Feb-16,Central Park,David Milberg
"A nice place for a walk, .",8-Feb-16,Central Park,Emmy Faks
Bring your running  and enjoy the !,7-Feb-16,Central Park,Nick van Mierlo
"This is one of the beautiful  of USA.The beauty of  is so lovely,charming.Each of attracted them.",5-Feb-16,Central Park,Everon Clarke
Love this  need to go more often really do,5-Feb-16,Central Park,Kelly Kole
Go for a run with Nike Running Club thru Central Park. ,3-Feb-16,Central Park,Devonta
No better place to run in the city.  1 loop is 6 miles.,2-Feb-16,Central Park,Kris Kelley
"The most beautiful  for running, walking and sightseeing! During   is amazing",2-Feb-16,Central Park,Nazli Oguz
"Always beautiful, always nice.",1-Feb-16,Central Park,Gabriel Marchezini
Famous ,31-Jan-16,Central Park,Nikos Fotou
Great place to pass the time and hang out.,31-Jan-16,Central Park,Olmedo Miranda
Good  for excersing.  Really pretty scenery,31-Jan-16,Central Park,Shane Anne Sabarillo
 in the middle of town.,29-Jan-16,Central Park,Jianli Meng
There's no reason to not go.,29-Jan-16,Central Park,Theresa Roldan
Beautiful as always. Restoration and maintenance works!,27-Jan-16,Central Park,Paulo Puglisi
Pro Axia Consulting: Group Companies,27-Jan-16,Central Park,Beryl Feeley
"You don't need a map or a plan, just meander around the winding paths",26-Jan-16,Central Park,Jessica Toliuszis
Walked around in the snow today just lovely!,24-Jan-16,Central Park,todd a williams
It is a great place to walk and relax. i have amazing memory of central park with my friends.,23-Jan-16,Central Park,Arthur Marshall
Best place for a walk or a run.,21-Jan-16,Central Park,André Cherin
Looks like a great place for a run,19-Jan-16,Central Park,Matthew Pires
 around the Central Park loop on a weekend.,18-Jan-16,Central Park,Sarmistha Sahoo
It's Central Park. What's left to say? I'm grateful it's my .,10-Jan-16,Central Park,Trae F
What isn't good here?,8-Jan-16,Central Park,K
Better than expected. Nice for a quick escape in the nature,7-Jan-16,Central Park,Vladi Popov
the most beautiful place in the ,7-Jan-16,Central Park,Luke Chu
It's a great place!,6-Jan-16,Central Park,Prosenjit Bhattacharya
My favourite place on earth!!,6-Jan-16,Central Park,Nena Midwinter
Great and magical .,6-Jan-16,Central Park,Jay C' 🏉 Huerta
You should rent a  and enjoy the . You will finish one round in about 1:30 to 2 hours.,5-Jan-16,Central Park,Mada Ba
Enjoy long walks in its paths. The  is breathtaking and you can take lots of good pics here.,4-Jan-16,Central Park,Celina Mendoza
 it or run it! But you have to complete the whole ! Is a 16.2K road! So be ready to spend some time there!,3-Jan-16,Central Park,Ricardo Luciano
"You can rent a , there are double  too!",1-Jan-16,Central Park,Mari
Love walking through the !,31-Dec-15,Central Park,Melissa Michaud Nishan
"Great to experience as often as you can. So much to do and see. Great , , and walking in nature. Be sure to do a carriage ride, very relaxing, educational & .",31-Dec-15,Central Park,Brad Hager
A break from the city,30-Dec-15,Central Park,Lee
Incredible ,29-Dec-15,Central Park,Miguel Angel Guardado
A total indispensable place to know in NY.,29-Dec-15,Central Park,Alex Aprisco
There is no comparison to any other place in the world.  Stop by ... there is so much beauty in this !  Go NYC!!!,28-Dec-15,Central Park,Dory Maciel
The Ramble is a great place to wander when you have an hour or two.,28-Dec-15,Central Park,Gavriela Langer
Lovely place for a talk.,27-Dec-15,Central Park,Ab
Great place to escape from the noise of the city. Huge area to explore with plenty of  and  to enjoy a .,25-Dec-15,Central Park,Carl Griffin
"Central Park is a city of entertainment in itself! , boating, , , , summer  and many more things to do! Host a  with your friends in sheep meadow during summer",23-Dec-15,Central Park,Rewan Parti
A must while in NYC. Spectacular the corner by the 5th Avenue! Great at  with the ice rink,19-Dec-15,Central Park,Hector
"PHOTO: 1975 was the last year the New York City marathon was raced entirely inside Central Park. In this photo, runners at the marathon starting line. ",17-Dec-15,Central Park,Ubeyd Dalmis
Favorite place in all of NYC.,17-Dec-15,Central Park,Lina Lanovoi
"Truly amazing how large it is. Go , run the  around the  more north, or simply  on the grassy hills.",16-Dec-15,Central Park,Michael Natale
Such an amazing place with endless things to explore!,15-Dec-15,Central Park,Irina Dorko
One of the top spots in NYC!,13-Dec-15,Central Park,Achille Mileto
Great place for a morning run. Just do it.,10-Dec-15,Central Park,Christopher Jimenez
It's very central,10-Dec-15,Central Park,Olexy Sadovy
Don’t stop suddenly in the middle of the  lane to take a selfie.,9-Dec-15,Central Park,Alec Perkins
Everything.,9-Dec-15,Central Park,Noah Selling
Walking around,8-Dec-15,Central Park,Callie Bienvenu
Love this ! Great for a walk. A lot of dogs.,8-Dec-15,Central Park,Lianda Wiegerinck
Great 🎄,6-Dec-15,Central Park,🌹Sun!
Great walk,1-Dec-15,Central Park,Daniel Smith
Beautiful in the fall,30-Nov-15,Central Park,Rebecca Mazza
Great escape form NYC while still being in NYC. 2.5 miles long makes for a great walk.,28-Nov-15,Central Park,Trevor Kent
Fav place in the ?  !!!,26-Nov-15,Central Park,Kath
Love this part of NYC 💕,26-Nov-15,Central Park,Léa Bautista
Lovely for a stroll!  Always beautiful!,24-Nov-15,Central Park,Lindsay Longobardi
Got to take a ride in the horse carriage and  the  at Central Park.  Grab a  as you walk through the !   from the cart hit the spot at  time!,23-Nov-15,Central Park,Rosemary Lohman
So gorgeous in the fall!,23-Nov-15,Central Park,Elizabeth Otaola
Rent a  outside of the  and ride around the whole thing!,21-Nov-15,Central Park,Talia Fisher
Central Park was America's first  . The first  was the  at Bethesda  called the Angel of the Waters.,19-Nov-15,Central Park,Central Park
"The 6-Mile loop is Andrew Parietti's, President of Outdoor Voices, favorite jog in the city. It's the perfect distance, and he always finds himself racing a few random folks along the way. ",19-Nov-15,Central Park,Outdoor Voices
Huge and beautiful. If you have the time drop by the ,18-Nov-15,Central Park,Kerem Uzer
Hard to miss this one. Essential for anyone visiting the city.,16-Nov-15,Central Park,Adam
Beautiful and smoke free,12-Nov-15,Central Park,Susheila Sheagley
"Beautiful,  and green. A must see.",12-Nov-15,Central Park,James
Don't hangout here after dark,11-Nov-15,Central Park,Filter Scan / Sean
Never get bored with it..,10-Nov-15,Central Park,travis hudson
perfect on a sunday afternoon.,9-Nov-15,Central Park,Colin Athens
"Tavern on the Green, conservatory , harlem meer, belvedere .  Excellent green space in the middle of the hustle and bustle.",8-Nov-15,Central Park,Josue Estrada
Gorgeous ,7-Nov-15,Central Park,Batuhan Sahin
Totally understand why New Yorker love their . It's the oasis. It's the best ever.,5-Nov-15,Central Park,Ting S
many homless people and too big,5-Nov-15,Central Park,Caroline K
One of the most beautiful and  in all of NYC but don't go alone after dark.,3-Nov-15,Central Park,Nadia IssaBella
"Surperb  for runners, where the end for Tcs New York marathon",2-Nov-15,Central Park,Joei Lo
Central Park really is the best place in NYC. Why pretend it's not.,2-Nov-15,Central Park,Rebecca W
North is cozier,31-Oct-15,Central Park,Thomas Jorion
One of the greatest places in the world.,28-Oct-15,Central Park,Emiliano Severoni
The best place to recharge and get away from all the noises of the big city,27-Oct-15,Central Park,Marina Nova
Walk it through between the natural  to the met. You cant see the buildings when You aré in the middle,26-Oct-15,Central Park,Pedro Hidalgo Labarca
A must visit in NYC,25-Oct-15,Central Park,Victoria Zelenskaya
Amazing perfect to run or take a rest,21-Oct-15,Central Park,Pit Pitoca
Beautiful place for a walk in autumn,21-Oct-15,Central Park,Sally Melville
What a great getaway from all the noise and congestion in NYC,20-Oct-15,Central Park,Jeff S.
Simple. Amazing!!,14-Oct-15,Central Park,Karen Frasica
Classic New York,13-Oct-15,Central Park,Anna R
"Truly beautiful, tranquil space",12-Oct-15,Central Park,Justin
I think we spent more time strolling through Central Parks than visiting New York! Great for  or hanging out.There's a  where you can rent mini boats and drive them just like in Gossip Girl,11-Oct-15,Central Park,Camille Verdier
Green oasis in the heart of Manhattan!,9-Oct-15,Central Park,Caroline
Awesomeness,9-Oct-15,Central Park,Biz Traveldude
Wild West  at 93rd and CPW is my kids' favorite. Newly renovated.,7-Oct-15,Central Park,Charles Yeganian
A good way to know the  is by renting a .,6-Oct-15,Central Park,Michelle Colin
Central Park is a magical place.  Truly.,3-Oct-15,Central Park,Sheila Schumacher
Take a break in this world  .,3-Oct-15,Central Park,Sophyan Julio
Without this  the people in this city would be even crazier!,2-Oct-15,Central Park,Adam Schuit
Take a citibike at the  to do a 6 mi loop,29-Sep-15,Central Park,Stepan Roger
"There are lots of people getting their workout done; walking, jogging, running and , this def get one to want to go for a run.",27-Sep-15,Central Park,Yasmin Sanchez
Nature and various events. Greatest ,24-Sep-15,Central Park,Uwvie Obodo
"Great place to take a stroll, relax, and enjoy the scenery away from the madness that is NYC.",22-Sep-15,Central Park,Zachary Rand
Close your eyes focus and you'll notice you don't hear the  city,19-Sep-15,Central Park,Armelle De Oliveira
A must see place in NYC!!,18-Sep-15,Central Park,Seyhan
"Enjoy it by day, avoid it at night.",17-Sep-15,Central Park,Laura Bonelli
We walked the  from north to south (from Harlem to ) unhurried pace in two hours.,15-Sep-15,Central Park,honey 🌾 boney
"And if you are good, you may just feed a squirrel!",14-Sep-15,Central Park,Hande
Runners paradise.  and good vibe. Delicious  at the entrance. Too  too. $8 for a ? Umm ok.,14-Sep-15,Central Park,JL
"Take at least one whole day to fully explore this beautiful and huge  with no rush. During the summer, this is the best place in the city.",13-Sep-15,Central Park,Marina Burity
The best place ever!!!,13-Sep-15,Central Park,Ana Mijic
The perfect place tonrelax and be distracted for just a moment. Enjoy the lungs of nyc,8-Sep-15,Central Park,Ignacio Dominis
"To have Central Park as ones literal front or . 5th Avenue , Central Park West, North or South. If you want to be near the  or have ...ping me for a chat. Here's one such ..",7-Sep-15,Central Park,Nikki Beauchamp
One of my favorite things to do is to sit by the conservatory boat  and watch people of all ages and their model  boats,7-Sep-15,Central Park,Nikki Beauchamp
I can't say enough amazing things about this gem. Ok - one- if you can give anything to Central Park Conservancy do so. They do an extraordinary job.,7-Sep-15,Central Park,Nikki Beauchamp
"Good for , walking, relaxation, .",3-Sep-15,Central Park,Bogdan Gună
 at the  or visit the .,3-Sep-15,Central Park,Thomas Witt
My favorite place still has to be the great . Not to be missed.,1-Sep-15,Central Park,Charley Todd
A must see and must visit if you are visiting.,30-Aug-15,Central Park,Faymus
", The , The , Sheep's Meadow!! Experience these and more on a   with us! Our one of a  and professional guides will give you the inside scoop! #hqt ",28-Aug-15,Central Park,High Quality Tours HQT
"Wow!! Loved this place. It's the real central 'heart' of NewYork. Cycling, running, or just a normal walk.... You can do anything! You can easily spend your whole day in Central Park👌🏼👍🏼",26-Aug-15,Central Park,Hemant Singh Chauhan
Find a nice  to sit on & relax :),23-Aug-15,Central Park,Cole Correa
"I have been to this place thousand times but every time it keeps surprising me,it's really great place to visit,it has many attractions for all ages. Don't miss it guys😍",22-Aug-15,Central Park,Aaliah
Just so beautiful,22-Aug-15,Central Park,Laura Shum
"To go more in-depth during you visit, you can take a free welcome  of certain areas of the , including the northern welcome , southern welcome , and heart of the  .",21-Aug-15,Central Park,Fodor's Travel
