content,date,location_name,user_name
Choose the morning sessions - there are fewer people and its much more  and relaxing!,"August 24, 2013",Aire Ancient Baths,Alexander Sedgwick
I work tradeshows on my feet for long days and this was just what I needed! I'll be back!  and so relaxing.,"August 22, 2013",Aire Ancient Baths,Brandy Schuman
Amazing experience... floating in  perfect way to spend a sunday!,"August 11, 2013",Aire Ancient Baths,Alex Van Gestel
This place is amazing! Great !,"July 31, 2013",Aire Ancient Baths,Claudine Zamor
" , hot and frigid pool alternating feels great, recs by ","July 13, 2013",Aire Ancient Baths,Jerry Chen
Amazing experience—literally felt like you'd left Manhattan and stepped into another century. Great for special events.,"June 24, 2013",Aire Ancient Baths,Jamie Silverman
Four  was the best I've ever had.,"June 21, 2013",Aire Ancient Baths,Gabrielle Golenda
"The """" is the best ancient soaking bath at Aire. They fill it with Epsom salts to mimic the , and they regulate it at a temperature of 97F. Float and give your sore  a treat.","May 23, 2013",Aire Ancient Baths,@JaumePrimero
When getting a  ask for Yoon...she's amazing,"May 15, 2013",Aire Ancient Baths,Jameson
Must try the salt pool and the  which is 102 degrees into the 50 degree pool. Amazing place in NYC,"May 15, 2013",Aire Ancient Baths,Jameson
absolutely incredible. thats it,"April 20, 2013",Aire Ancient Baths,Iversen
"Soak the afternoon away in tubs filled with  or  at this Roman-style bathhouse. The 16,000-square-foot space features six different baths, including  and an ice-cold plunge.","April 11, 2013",Aire Ancient Baths,Travel + Leisure
"ask for , sue. she really is amazingly . I've rarely had a  so good, she seemed to know all the tight spots intuitively.","April 1, 2013",Aire Ancient Baths,Ameena Meer
Amazing. Amazing. Amazing. The entire experience is pure bliss,"March 24, 2013",Aire Ancient Baths,JessicaLaurenSF
This  is a total treasure and blows someplace like   out of the water.,"March 16, 2013",Aire Ancient Baths,Mackenzie Khristov
"That's what I call a . Delightful atmosphere, candles, no crowds and noise.  is amazing.","March 14, 2013",Aire Ancient Baths,Karolina Szczur
The  is the best. If no one else is in the pool you can just float forever. Also the 50F pool to the 103F pool is really good,"February 25, 2013",Aire Ancient Baths,Simon Lindsay
Absolutely top off the experience with a !!,"February 14, 2013",Aire Ancient Baths,Kat Sullivan
"Omg - just had the most amazing time!! Baths, steam,  + amazing service and spotless . You won't be disappointed!!","December 23, 2012",Aire Ancient Baths,Jason Hoover
", ,  = great for your skin.","October 8, 2012",Aire Ancient Baths,Indira Vaidy
"In this 16,000-square-foot space, the wooden  are made from original scaffolds of the Triboro Bridge.","August 24, 2012",Aire Ancient Baths,Travel + Leisure
"Nick is an amazing (& hot) . The  like bath is incredible, I could've lounged/floated forever. Also the ice cold bath is Refreshingly freezing. Well worth it, I'll def be back","August 5, 2012",Aire Ancient Baths,Jenny W.
This is the best  in NYC right now. A series of serene baths ranging from a superb flotation pool to hot and a truly amazing  that is the perfect temperature.,"July 22, 2012",Aire Ancient Baths,Gemma Craven
Excellent ,"August 3, 2016",Aire Ancient Baths,Sedat
Relaxing af,"July 3, 2016",Aire Ancient Baths,Molly T
" pour se détendre, superbe ambiance et très propre","November 8, 2015",Aire Ancient Baths,Lynda Carnal
Dapat ini bagus!!! ,"October 27, 2015",Aire Ancient Baths,SongDelun
 лапочки - это плюс. От  щиплет глаза и раздевалка гряновата - это минус .,"January 1, 2015",Aire Ancient Baths,Катя Дусикян
"Здесь хорошо все! Берите с собой купальники и все, что вам нужно,чтобы привести себя в порядок после . , тапочки, ватные диски и , полотенца и  они предоставляют. Floating bath!","October 27, 2014",Aire Ancient Baths,Sasha Tkachenko
Relájate a la luz de las  recorriendo su circuito de  a distintas temperaturas o date un capricho con su ritual de vinoterapia que incluye un  y uno corporal a cuatro manos.,"November 14, 2013",Aire Ancient Baths,Lola
